cell_id,mouse_id,exclusion,notes,abf_folder,free_run_file,hyperpol_file,small_steps_file,ramp_file,sagIh_file,SK_VC_file,SK_VC_apamin_file,small_steps_apamin_file,ramp_apamin_file,hyperpol_apamin_file,sagIh_apamin_file
20260717_cell2_JMT,20260717_naive_F2,,died,,,,,,,,,,,,
20260717_cell3_JMT,20260717_naive_F2,,SK_VC saturated,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\0717026,2026_07_17_0009.abf,2026_07_17_0010.abf,2026_07_17_0011.abf,2026_07_17_0012.abf,2026_07_17_0013.abf,"[2026_07_17_0015.abf, 2026_07_17_0016.abf] ","[2026_07_17_0023.abf, 2026_07_17_0024.abf] ",2026_07_17_0021.abf,2026_07_17_0022.abf,2026_07_17_0020.abf,
20260717_cell4_JMT,20260717_naive_F1,,,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\0717026,2026_07_17_0025.abf,2026_07_17_0026.abf,2026_07_17_0028.abf,2026_07_17_0029.abf,2026_07_17_0030.abf,,,,,,
20260717_cell5_JMT,20260717_naive_F1,,SK_VC high Ra?,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\0717026,2026_07_17_0031.abf,2026_07_17_0032.abf,2026_07_17_0033.abf,2026_07_17_0034.abf,2026_07_17_0035.abf,"[2026_07_17_0036.abf, 2026_07_17_0037.abf] ","[2026_07_17_0039.abf, 2026_07_17_0040.abf] ",,,2026_07_17_0041.abf,
20260717_cell6_JMT,20260717_naive_F2,,spikelets,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\0717026,2026_07_17_0045.abf,2026_07_17_0046.abf,2026_07_17_0047.abf,2026_07_17_0049.abf,2026_07_17_0050.abf,,,,,,
20260717_cell7_JMT,20260717_naive_F2,holding current,,,,,,,,,,,,,
20260721_cell1_JMT,20260721_naive_F1,,spikelets,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\07212026,2026_07_21_0000.abf,2026_07_21_0001.abf,2026_07_21_0005.abf,2026_07_21_0003.abf,2026_07_21_0004.abf,,,,,,
20260721_cell2_JMT,20260721_naive_F1,,,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\07212026,2026_07_21_0006.abf,2026_07_21_0007.abf,2026_07_21_0008.abf,2026_07_21_0009.abf,,"[2026_07_21_0011.abf, 2026_07_21_0012.abf] ","[2026_07_21_0020.abf, 2026_07_21_0021.abf] ",2026_07_21_0018.abf,2026_07_21_0019.abf,2026_07_21_0017.abf,
20260721_cell3_JMT,20260721_naive_F1,,,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\07212026,2026_07_21_0022.abf,2026_07_21_0023.abf,2026_07_21_0024.abf,2026_07_21_0025.abf,2026_07_21_0026.abf,,,,,,
20260721_cell4_JMT,20260721_naive_F1,unstable,,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\07212026,2026_07_21_0028.abf,2026_07_21_0029.abf,,,,,,,,,
20260721_cell5_JMT,20260721_naive_F1,,,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\07212026,2026_07_21_0040.abf,2026_07_21_0041.abf,2026_07_21_0042.abf,,,,,,,,
20260721_cell6_JMT,20260721_naive_F1,,bit depolarized for many i-clamp protocols,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\07212026,2026_07_21_0043.abf,2026_07_21_0044.abf,,,2026_07_21_0047.abf,,,,,,
20260722_cell1_JMT,20260722_naive_M1,,,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\07222026,2026_07_22_0000.abf,2026_07_22_0001.abf,2026_07_22_0005.abf,2026_07_22_0003.abf,2026_07_22_0004.abf,,,,,,
20260722_cell2_JMT,20260722_naive_M1,,SK_VC saturation,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\07222026,2026_07_22_0006.abf,2026_07_22_0007.abf,2026_07_22_0008.abf,2026_07_22_0009.abf,2026_07_22_0010.abf,"[2026_07_22_0011.abf, 2026_07_22_0012.abf] ","[2026_07_22_0020.abf, 2026_07_22_0021.abf] ",2026_07_22_0018.abf,2026_07_22_0019.abf,2026_07_22_0017.abf,
20260722_cell3_JMT,20260722_naive_M1,,,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\07222026,2026_07_22_0022.abf,2026_07_22_0023.abf,2026_07_22_0024.abf,2026_07_22_0025.abf,2026_07_22_0026.abf,,,,,,
20260722_cell4_JMT,20260722_naive_M1,,"SK_VC messy saturated sometimes, access likley increasing over time",C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\07222026,2026_07_22_0029.abf,2026_07_22_0030.abf,2026_07_22_0035.abf,2026_07_22_0032.abf,2026_07_22_0033.abf,,,,,,
20260722_cell5_JMT,20260722_naive_M1,,,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\07222026,2026_07_22_0047.abf,2026_07_22_0048.abf,2026_07_22_0049.abf,2026_07_22_0050.abf,2026_07_22_0051.abf,,,,,,
20260723_cell1_JMT,20260723_naive_M1,,,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\07232026,2026_07_23_0000.abf,2026_07_23_0001.abf,2026_07_23_0004.abf,2026_07_23_0002.abf,2026_07_23_0005.abf,"[2026_07_23_0006.abf, 2026_07_23_0007.abf] ","[2026_07_23_0011.abf, 2026_07_23_0012.abf] ",2026_07_23_0014.abf,2026_07_23_0015.abf,2026_07_23_0013.abf,
20260723_cell2_JMT,20260723_naive_M2,,SK_VC ?,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\07232026,2026_07_23_0017.abf,2026_07_23_0018.abf,2026_07_23_0019.abf,2026_07_23_0020.abf,2026_07_23_0022.abf,,,,,,
20260723_cell3_JMT,20260723_naive_M1,,,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\07232026,2026_07_23_0032.abf,2026_07_23_0033.abf,2026_07_23_0034.abf,2026_07_23_0035.abf,2026_07_23_0036.abf,"[2026_07_23_0037.abf, 2026_07_23_0038.abf] ","[2026_07_23_0041.abf, 2026_07_23_0042.abf] ",2026_07_23_0044.abf,2026_07_23_0045.abf,2026_07_23_0043.abf,
20260723_cell4_JMT,20260723_naive_M2,,weak repolarization,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\07232026,2026_07_23_0048.abf,2026_07_23_0049.abf,2026_07_23_0052.abf,2026_07_23_0051.abf,2026_07_23_0053.abf,,,,,,
20260723_cell5_JMT,20260723_naive_M1,,,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\07232026,2026_07_23_0063.abf,2026_07_23_0064.abf,2026_07_23_0065.abf,2026_07_23_0066.abf,2026_07_23_0067.abf,"[2026_07_23_0068.abf, 2026_07_23_0069.abf] ","[2026_07_23_0072.abf, 2026_07_23_0073.abf] ",2026_07_23_0075.abf,2026_07_23_0076.abf,2026_07_23_0074.abf,
20260723_cell6_JMT,20260723_naive_M2,,,C:\Users\tahage\Box\CreedLabBoxDrive\Dopamine_Pain_Project\Patching\NAcCore_projecting_VTA_DA\Chronic SNI\07232026,2026_07_23_0079.abf,2026_07_23_0080.abf,2026_07_23_0081.abf,2026_07_23_0082.abf,2026_07_23_0083.abf,"[2026_07_23_0084.abf, 2026_07_23_0085.abf] ","[2026_07_23_0089.abf, 2026_07_23_0090.abf] ",2026_07_23_0092.abf,2026_07_23_0093.abf,2026_07_23_0091.abf,
